trial,winner
0,BLUE
1,RED
2,RED
3,RED
4,RED
5,RED
6,RED
7,RED
8,RED
9,BLUE
10,BLUE
11,RED
12,BLUE
13,BLUE
14,RED
15,BLUE
16,RED
17,RED
18,RED
19,BLUE
20,RED
21,RED
22,RED
23,BLUE
24,BLUE
25,BLUE
26,BLUE
27,RED
28,RED
29,BLUE
30,BLUE
31,RED
32,RED
33,RED
34,RED
35,BLUE
36,DRAW
37,RED
38,BLUE
39,BLUE
40,BLUE
41,RED
42,RED
43,RED
44,BLUE
45,BLUE
46,RED
47,RED
48,RED
49,RED
50,RED
51,RED
52,BLUE
53,BLUE
54,RED
55,BLUE
56,BLUE
57,RED
58,DRAW
59,RED
60,RED
61,RED
62,BLUE
63,BLUE
64,BLUE
65,RED
66,RED
67,RED
68,DRAW
69,RED
70,DRAW
71,RED
72,BLUE
73,BLUE
74,BLUE
75,RED
76,BLUE
77,DRAW
78,DRAW
79,BLUE
80,RED
81,RED
82,BLUE
83,RED
84,BLUE
85,BLUE
86,RED
87,BLUE
88,RED
89,BLUE
90,BLUE
91,DRAW
92,RED
93,RED
94,BLUE
95,BLUE
96,BLUE
97,BLUE
98,RED
99,BLUE
100,BLUE
101,RED
102,RED
103,RED
104,BLUE
105,BLUE
106,BLUE
107,BLUE
108,RED
109,BLUE
110,RED
111,RED
112,RED
113,BLUE
114,BLUE
115,RED
116,RED
117,BLUE
118,BLUE
119,BLUE
120,RED
121,RED
122,BLUE
123,BLUE
124,BLUE
125,DRAW
126,BLUE
127,RED
128,RED
129,BLUE
130,BLUE
131,RED
132,RED
133,RED
134,BLUE
135,BLUE
136,BLUE
137,BLUE
138,BLUE
139,RED
140,RED
141,DRAW
142,RED
143,RED
144,BLUE
145,BLUE
146,RED
147,RED
148,RED
149,BLUE
150,DRAW
151,BLUE
152,BLUE
153,RED
154,BLUE
155,RED
156,BLUE
157,RED
158,BLUE
159,BLUE
160,DRAW
161,BLUE
162,RED
163,BLUE
164,BLUE
165,BLUE
166,RED
167,BLUE
168,RED
169,RED
170,BLUE
171,RED
172,RED
173,RED
174,BLUE
175,BLUE
176,RED
177,RED
178,RED
179,RED
180,BLUE
181,BLUE
182,RED
183,BLUE
184,RED
185,BLUE
186,RED
187,DRAW
188,RED
189,BLUE
190,RED
191,BLUE
192,DRAW
193,BLUE
194,RED
195,DRAW
196,RED
197,BLUE
198,RED
199,BLUE
200,RED
201,RED
202,BLUE
203,RED
204,RED
205,RED
206,RED
207,RED
208,RED
209,BLUE
210,RED
211,BLUE
212,RED
213,RED
214,RED
215,RED
216,RED
217,BLUE
218,BLUE
219,BLUE
220,RED
221,BLUE
222,RED
223,RED
224,RED
225,RED
226,RED
227,BLUE
228,RED
229,RED
230,RED
231,RED
232,BLUE
233,RED
234,BLUE
235,BLUE
236,RED
237,BLUE
238,RED
239,RED
240,DRAW
241,BLUE
242,RED
243,BLUE
244,RED
245,DRAW
246,BLUE
247,BLUE
248,RED
249,BLUE
250,RED
251,BLUE
252,BLUE
253,DRAW
254,BLUE
255,BLUE
256,BLUE
257,BLUE
258,RED
259,RED
260,RED
261,BLUE
262,BLUE
263,BLUE
264,DRAW
265,RED
266,RED
267,RED
268,BLUE
269,DRAW
270,RED
271,RED
272,RED
273,RED
274,RED
275,RED
276,BLUE
277,BLUE
278,RED
279,BLUE
280,RED
281,BLUE
282,BLUE
283,BLUE
284,BLUE
285,BLUE
286,RED
287,RED
288,BLUE
289,BLUE
290,RED
291,BLUE
292,RED
293,BLUE
294,BLUE
295,DRAW
296,RED
297,BLUE
298,RED
299,RED
300,RED
301,BLUE
302,RED
303,RED
304,BLUE
305,RED
306,RED
307,BLUE
308,BLUE
309,BLUE
310,BLUE
311,RED
312,BLUE
313,RED
314,BLUE
315,BLUE
316,RED
317,RED
318,BLUE
319,BLUE
320,RED
321,BLUE
322,RED
323,BLUE
324,RED
325,BLUE
326,RED
327,BLUE
328,RED
329,BLUE
330,BLUE
331,DRAW
332,RED
333,BLUE
334,DRAW
335,BLUE
336,BLUE
337,BLUE
338,BLUE
339,RED
340,BLUE
341,RED
342,BLUE
343,BLUE
344,RED
345,BLUE
346,RED
347,BLUE
348,RED
349,RED
350,BLUE
351,BLUE
352,RED
353,RED
354,BLUE
355,RED
356,RED
357,BLUE
358,RED
