trial,winner
0,RED
1,BLUE
2,BLUE
3,RED
4,BLUE
5,BLUE
6,DRAW
7,RED
8,BLUE
9,BLUE
10,RED
11,DRAW
12,RED
13,RED
14,BLUE
15,RED
16,DRAW
17,RED
18,RED
19,BLUE
20,RED
21,RED
22,RED
23,RED
24,RED
25,BLUE
26,RED
27,RED
28,BLUE
29,RED
30,RED
31,BLUE
32,RED
33,RED
34,RED
35,BLUE
36,BLUE
37,RED
38,RED
39,BLUE
40,BLUE
41,RED
42,RED
43,RED
44,RED
45,BLUE
46,RED
47,BLUE
48,RED
49,BLUE
50,DRAW
51,DRAW
52,DRAW
53,BLUE
54,RED
55,BLUE
56,BLUE
57,BLUE
58,BLUE
59,BLUE
60,BLUE
61,RED
62,RED
63,BLUE
64,RED
65,BLUE
66,RED
67,RED
68,RED
69,RED
70,BLUE
71,RED
72,BLUE
73,RED
74,RED
75,DRAW
76,BLUE
77,RED
78,RED
79,BLUE
80,RED
81,RED
82,BLUE
83,BLUE
84,RED
85,RED
86,RED
87,RED
88,BLUE
89,RED
90,RED
91,RED
92,RED
93,BLUE
94,DRAW
95,RED
96,RED
97,RED
98,BLUE
99,BLUE
100,BLUE
101,RED
102,BLUE
103,RED
104,BLUE
105,BLUE
106,BLUE
107,BLUE
108,BLUE
109,BLUE
110,BLUE
111,BLUE
112,RED
113,BLUE
114,BLUE
115,RED
116,RED
117,RED
118,RED
119,RED
120,RED
121,RED
122,RED
123,DRAW
124,BLUE
125,RED
126,RED
127,BLUE
128,RED
129,RED
130,BLUE
131,DRAW
132,RED
133,RED
134,RED
135,RED
136,BLUE
137,BLUE
138,RED
139,RED
140,RED
141,BLUE
142,RED
143,BLUE
144,BLUE
145,DRAW
146,BLUE
147,BLUE
148,RED
149,RED
150,RED
151,RED
152,BLUE
153,RED
154,BLUE
155,BLUE
156,DRAW
157,RED
158,RED
159,BLUE
160,RED
161,RED
162,DRAW
163,RED
164,BLUE
165,RED
166,RED
167,RED
168,BLUE
169,BLUE
170,BLUE
171,RED
172,BLUE
173,BLUE
174,BLUE
175,RED
176,RED
177,BLUE
178,RED
179,RED
180,BLUE
181,BLUE
182,RED
183,RED
184,BLUE
185,BLUE
186,BLUE
187,DRAW
188,BLUE
189,BLUE
190,BLUE
191,RED
192,RED
193,RED
194,BLUE
195,RED
196,RED
197,RED
198,BLUE
199,BLUE
200,DRAW
201,DRAW
202,RED
203,BLUE
204,BLUE
205,RED
206,BLUE
207,BLUE
208,BLUE
209,RED
210,RED
211,RED
212,BLUE
213,BLUE
214,RED
215,RED
216,RED
217,RED
218,RED
219,RED
220,RED
221,BLUE
222,BLUE
223,RED
224,RED
225,BLUE
226,BLUE
227,BLUE
228,RED
229,DRAW
230,RED
231,RED
232,DRAW
233,BLUE
234,BLUE
235,BLUE
236,BLUE
237,BLUE
238,RED
239,BLUE
240,BLUE
241,RED
242,RED
243,BLUE
244,RED
245,RED
246,BLUE
247,BLUE
248,BLUE
249,BLUE
250,RED
251,BLUE
252,RED
253,RED
254,RED
255,BLUE
256,RED
257,DRAW
258,RED
259,RED
260,RED
261,RED
262,RED
263,BLUE
264,BLUE
265,BLUE
266,BLUE
267,BLUE
268,RED
269,BLUE
270,RED
271,RED
272,BLUE
273,BLUE
274,BLUE
275,RED
276,RED
277,BLUE
278,RED
279,RED
280,BLUE
281,BLUE
282,RED
283,RED
284,RED
285,RED
286,BLUE
287,RED
288,RED
289,BLUE
290,RED
291,BLUE
292,RED
293,RED
294,RED
295,BLUE
296,RED
297,RED
298,BLUE
299,BLUE
