trial,winner
0,BLUE
1,RED
2,RED
3,BLUE
4,BLUE
5,RED
6,BLUE
7,RED
8,RED
9,BLUE
10,BLUE
11,DRAW
12,RED
13,RED
14,BLUE
15,BLUE
16,BLUE
17,BLUE
18,BLUE
19,RED
20,RED
21,RED
22,BLUE
23,RED
24,BLUE
25,RED
26,RED
27,DRAW
28,BLUE
29,BLUE
30,BLUE
31,RED
32,BLUE
33,DRAW
34,RED
35,RED
36,BLUE
37,RED
38,DRAW
39,BLUE
40,BLUE
41,RED
42,BLUE
43,RED
44,RED
45,BLUE
46,RED
47,BLUE
48,BLUE
49,RED
50,BLUE
51,BLUE
52,BLUE
53,RED
54,BLUE
55,BLUE
56,RED
57,BLUE
58,BLUE
59,RED
60,RED
61,BLUE
62,RED
63,RED
64,RED
65,RED
66,DRAW
67,DRAW
68,BLUE
69,RED
70,BLUE
71,BLUE
72,RED
73,BLUE
74,RED
75,RED
76,RED
77,RED
78,RED
79,DRAW
80,BLUE
81,BLUE
82,RED
83,RED
84,BLUE
85,DRAW
86,BLUE
87,BLUE
88,RED
89,BLUE
90,DRAW
91,RED
92,RED
93,RED
94,RED
95,RED
96,RED
97,RED
98,BLUE
99,BLUE
