trial,winner
0,RED
1,RED
2,RED
3,RED
4,BLUE
5,RED
6,BLUE
7,RED
8,BLUE
9,RED
10,RED
11,BLUE
12,BLUE
13,RED
14,RED
15,RED
16,BLUE
17,RED
18,RED
19,RED
20,RED
21,RED
22,RED
23,RED
24,RED
25,RED
26,BLUE
27,RED
28,BLUE
29,RED
30,BLUE
31,RED
32,BLUE
33,RED
34,RED
35,RED
36,RED
37,RED
38,RED
39,BLUE
40,RED
41,RED
42,RED
43,RED
44,RED
45,RED
46,BLUE
47,RED
48,RED
49,RED
50,RED
51,RED
52,RED
53,RED
54,BLUE
55,RED
56,RED
57,RED
58,BLUE
59,RED
60,RED
61,RED
62,BLUE
63,BLUE
64,RED
65,BLUE
66,RED
67,RED
68,BLUE
69,DRAW
70,RED
71,RED
72,RED
73,RED
74,RED
75,BLUE
76,RED
77,BLUE
78,RED
79,RED
80,RED
81,BLUE
82,RED
83,RED
84,RED
85,RED
86,BLUE
87,RED
88,BLUE
89,RED
90,BLUE
91,BLUE
92,RED
93,RED
94,RED
95,RED
96,RED
97,BLUE
98,RED
99,RED
100,RED
101,RED
102,RED
103,RED
104,RED
105,BLUE
106,RED
107,RED
108,RED
109,BLUE
110,RED
111,RED
112,RED
113,BLUE
114,RED
115,RED
116,BLUE
117,RED
118,RED
119,RED
120,BLUE
121,RED
122,RED
123,RED
124,RED
125,RED
126,RED
127,BLUE
128,BLUE
129,RED
130,RED
131,RED
132,RED
133,RED
134,RED
135,RED
136,RED
137,RED
138,DRAW
139,RED
140,RED
141,RED
142,RED
143,BLUE
144,BLUE
145,RED
146,RED
147,RED
148,RED
149,DRAW
150,RED
151,BLUE
152,RED
153,RED
154,DRAW
155,RED
156,BLUE
157,BLUE
158,BLUE
159,RED
160,RED
161,RED
162,RED
163,BLUE
164,RED
165,BLUE
166,RED
167,RED
168,BLUE
169,RED
170,RED
171,RED
172,RED
173,RED
174,RED
175,RED
176,BLUE
177,RED
178,RED
179,RED
180,RED
181,RED
182,RED
183,RED
184,RED
185,RED
186,RED
187,RED
188,RED
189,RED
190,BLUE
191,RED
192,BLUE
193,RED
194,RED
195,RED
196,RED
197,RED
198,RED
199,RED
200,RED
201,BLUE
202,RED
203,RED
204,RED
205,RED
206,BLUE
207,RED
208,RED
209,BLUE
210,RED
211,RED
212,RED
213,RED
214,RED
215,RED
216,RED
217,RED
218,RED
219,RED
220,RED
221,BLUE
222,RED
223,RED
224,RED
225,RED
226,RED
227,RED
228,BLUE
229,RED
230,RED
231,RED
232,RED
233,BLUE
234,BLUE
235,RED
236,RED
237,RED
238,RED
239,BLUE
240,RED
241,RED
242,RED
243,RED
244,RED
245,RED
246,RED
247,RED
248,RED
249,BLUE
250,BLUE
251,RED
252,RED
253,RED
254,RED
255,BLUE
256,RED
257,RED
258,RED
259,RED
260,RED
261,BLUE
262,RED
263,BLUE
264,RED
265,RED
266,RED
267,BLUE
268,RED
269,RED
270,BLUE
271,RED
272,BLUE
273,RED
274,BLUE
275,RED
276,BLUE
277,RED
278,BLUE
279,RED
280,RED
281,RED
282,RED
283,RED
284,DRAW
285,RED
286,RED
287,RED
288,RED
289,RED
290,RED
291,BLUE
292,RED
293,RED
294,BLUE
295,RED
296,BLUE
297,RED
298,RED
299,DRAW
